,ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
16527,1760186644.0,2025-10-11T18:14:04+05:30,0.1769,72.22,d7,2025-10-11 18:14:04+05:30,50.90898993643006,-0.014883861174849198,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16530,1760186647.0,2025-10-11T18:14:07+05:30,0.0629,71.67,d7,2025-10-11 18:14:07+05:30,65.82583370866092,-0.01487089690686609,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,1,0,1,1
16531,1760186648.0,2025-10-11T18:14:08+05:30,0.0919,71.11,d7,2025-10-11 18:14:08+05:30,47.11869208474251,-0.014887155332637222,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16537,1760186654.0,2025-10-11T18:14:14+05:30,0.1509,71.67,d7,2025-10-11 18:14:14+05:30,62.516004544161305,-0.014873773488059946,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,0,0,1,1
16538,1760186655.0,2025-10-11T18:14:15+05:30,0.2459,71.11,d7,2025-10-11 18:14:15+05:30,45.53102920783103,-0.014888535174600937,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16542,1760186659.0,2025-10-11T18:14:19+05:30,0.1419,71.67,d7,2025-10-11 18:14:19+05:30,64.23730324540874,-0.014872277502851368,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,0,0,1,1
16543,1760186660.0,2025-10-11T18:14:20+05:30,0.1779,71.11,d7,2025-10-11 18:14:20+05:30,46.591234549059784,-0.014887613747362662,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16544,1760186661.0,2025-10-11T18:14:21+05:30,0.0169,71.11,d7,2025-10-11 18:14:21+05:30,50.643948134553305,-0.014884091523373234,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16547,1760186664.0,2025-10-11T18:14:24+05:30,0.0779,71.67,d7,2025-10-11 18:14:24+05:30,66.4072096075602,-0.01487039163154999,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,1,0,1,1
16549,1760186666.0,2025-10-11T18:14:26+05:30,0.1719,71.67,d7,2025-10-11 18:14:26+05:30,64.08281561659557,-0.014872411768454104,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,0,0,1,1
16551,1760186668.0,2025-10-11T18:14:28+05:30,0.2079,72.22,d7,2025-10-11 18:14:28+05:30,66.62863645153047,-0.014870199188900078,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C); Rapid temp change: 18.89°C/sample,critical,critical,0,1,1,0,1,1
16554,1760186671.0,2025-10-11T18:14:31+05:30,0.0199,71.67,d7,2025-10-11 18:14:31+05:30,68.17828314563847,-0.014868852386900385,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,1,0,1,1
16555,1760186672.0,2025-10-11T18:14:32+05:30,0.0639,71.67,d7,2025-10-11 18:14:32+05:30,50.00470545019198,-0.01488464709086411,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16556,1760186673.0,2025-10-11T18:14:33+05:30,0.0709,71.11,d7,2025-10-11 18:14:33+05:30,47.9689931039032,-0.014886416333794906,0,,normal,1,Critical high temp: 71.11°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
16558,1760186675.0,2025-10-11T18:14:35+05:30,0.0919,72.22,d7,2025-10-11 18:14:35+05:30,69.5557738145417,-0.014867655206152996,0,,normal,1,Critical high temp: 72.22°C (threshold: 68.40°C); Rapid temp change: 18.89°C/sample,critical,critical,0,1,1,0,1,1
16561,1760186678.0,2025-10-11T18:14:38+05:30,0.0439,71.67,d7,2025-10-11 18:14:38+05:30,65.8104494334519,-0.014870910277379962,0,,normal,1,Critical high temp: 71.67°C (threshold: 68.40°C); Rapid temp change: 18.34°C/sample,critical,critical,0,1,1,0,1,1
